1p.prs	1p.pst	3p.prs	3p.pst
explicate	explicated	explicates	explicated
explode	exploded	explodes	exploded
exploit	exploited	exploits	exploited
explore	explored	explores	explored
export	exported	exports	exported
trudge	trudged	trudges	trudged
expose	exposed	exposes	exposed
expostulate	expostulated	expostulates	expostulated
expound	expounded	expounds	expounded
express	expressed	expresses	expressed
trump	trumped	trumps	trumped
trumpet	trumpeted	trumpets	trumpeted
truncate	truncated	truncates	truncated
expropriate	expropriated	expropriates	expropriated
trundle	trundled	trundles	trundled
expunge	expunged	expunges	expunged
expurgate	expurgated	expurgates	expurgated
truss	trussed	trusses	trussed
trust	trusted	trusts	trusted
extemporize	extemporized	extemporizes	extemporized
extend	extended	extends	extended
extenuate	extenuated	extenuates	extenuated
try	tried	tries	tried
exteriorize	exteriorized	exteriorizes	exteriorized
exterminate	exterminated	exterminates	exterminated
externalize	externalized	externalizes	externalized
extinguish	extinguished	extinguishes	extinguished
extirpate	extirpated	extirpates	extirpated
extol	extolled	extols	extolled
tube	tubed	tubes	tubed
extract	extracted	extracts	extracted
tuck	tucked	tucks	tucked
extradite	extradited	extradites	extradited
extrapolate	extrapolated	extrapolates	extrapolated
tug	tugged	tugs	tugged
tumble	tumbled	tumbles	tumbled
extricate	extricated	extricates	extricated
extrude	extruded	extrudes	extruded
exude	exuded	exudes	exuded
exult	exulted	exults	exulted
tune	tuned	tunes	tuned
eye	eyed	eyes	eyed
tunnel	tunnelled	tunnels	tunnelled
turf	turfed	turfs	turfed
fabricate	fabricated	fabricates	fabricated
face	faced	faces	faced
turn	turned	turns	turned
facilitate	facilitated	facilitates	facilitated
factor	factored	factors	factored
factorize	factorized	factorizes	factorized
tussle	tussled	tussles	tussled
tut	tutted	tuts	tutted
fade	faded	fades	faded
tutor	tutored	tutors	tutored
tut-tut	tut-tutted	tut-tuts	tut-tutted
fag	fagged	fags	fagged
twaddle	twaddled	twaddles	twaddled
twang	twanged	twangs	twanged
fail	failed	fails	failed
tweak	tweaked	tweaks	tweaked
faint	fainted	faints	fainted
tweet	tweeted	tweets	tweeted
twiddle	twiddled	twiddles	twiddled
twig	twigged	twigs	twigged
twin	twinned	twins	twinned
twine	twined	twines	twined
fake	faked	fakes	faked
twinkle	twinkled	twinkles	twinkled
twirl	twirled	twirls	twirled
fall	fell	falls	fell
twist	twisted	twists	twisted
twit	twitted	twits	twitted
twitch	twitched	twitches	twitched
twitter	twittered	twitters	twittered
two-time	two-timed	two-times	two-timed
type	typed	types	typed
falsify	falsified	falsifies	falsified
typecast	typecast	typecasts	typecast
falter	faltered	falters	faltered
typeset	typeset	typesets	typeset
typewrite	typewrote	typewrites	typewrote
familiarize	familiarized	familiarizes	familiarized
typify	typified	typifies	typified
famish	famished	famishes	famished
tyrannize	tyrannized	tyrannizes	tyrannized
fan	fanned	fans	fanned
fancy	fancied	fancies	fancied
uglify	uglified	uglifies	uglified
ulcerate	ulcerated	ulcerates	ulcerated
fare	fared	fares	fared
ululate	ululated	ululates	ululated
farm	farmed	farms	farmed
umpire	umpired	umpires	umpired
farrow	farrowed	farrows	farrowed
fart	farted	farts	farted
fascinate	fascinated	fascinates	fascinated
fashion	fashioned	fashions	fashioned
fast	fasted	fasts	fasted
unarm	unarmed	unarms	unarmed
fasten	fastened	fastens	fastened
fat	fatted	fats	fatted
unbalance	unbalanced	unbalances	unbalanced
unbar	unbarred	unbars	unbarred
fate	fated	fates	fated
father	fathered	fathers	fathered
unbend	unbended	unbends	unbended
unbind	unbound	unbinds	unbound
fathom	fathomed	fathoms	fathomed
unbosom	unbosomed	unbosoms	unbosomed
fatigue	fatigued	fatigues	fatigued
unbuckle	unbuckled	unbuckles	unbuckled
unburden	unburdened	unburdens	unburdened
fatten	fattened	fattens	fattened
fault	faulted	faults	faulted
favour	favoured	favours	favoured
fawn	fawned	fawns	fawned
faze	fazed	fazes	fazed
fear	feared	fears	feared
uncork	uncorked	uncorks	uncorked
uncouple	uncoupled	uncouples	uncoupled
feast	feasted	feasts	feasted
uncover	uncovered	uncovers	uncovered
feather	feathered	feathers	feathered
featherbed	featherbedded	featherbeds	featherbedded
feature	featured	features	featured
undeceive	undeceived	undeceives	undeceived
underact	underacted	underacts	underacted
federate	federated	federates	federated
underbid	underbid	underbids	underbid
undercharge	undercharged	undercharges	undercharged
fee	fee'd	fees	fee'd
feed	fed	feeds	fed
undercut	undercut	undercuts	undercut
underestimate	underestimated	underestimates	underestimated
underexpose	underexposed	underexposes	underexposed
feel	felt	feels	felt
undergo	underwent	undergoes	underwent
feign	feigned	feigns	feigned
feint	feinted	feints	feinted
felicitate	felicitated	felicitates	felicitated
underlie	underlay	underlies	underlay
underline	underlined	underlines	underlined
fell	felled	fells	felled
undermine	undermined	undermines	undermined
undernourish	undernourished	undernourishes	undernourished
underpay	underpaid	underpays	underpaid
underpin	underpinned	underpins	underpinned
underplay	underplayed	underplays	underplayed
underquote	underquoted	underquotes	underquoted
underrate	underrated	underrates	underrated
underscore	underscored	underscores	underscored
undersell	undersold	undersells	undersold
undershoot	undershot	undershoots	undershot
undersign	undersigned	undersigns	undersigned
fence	fenced	fences	fenced
understand	understood	understands	understood
understate	understated	understates	understated
ferment	fermented	ferments	fermented
understock	understocked	understocks	understocked
understudy	understudied	understudies	understudied
undertake	undertook	undertakes	undertook
ferret	ferreted	ferrets	ferreted
undervalue	undervalued	undervalues	undervalued
ferry	ferried	ferries	ferried
underwrite	underwrote	underwrites	underwrote
fertilize	fertilized	fertilizes	fertilized
fester	festered	festers	festered
undo	undid	undoes	undid
undock	undocked	undocks	undocked
festoon	festooned	festoons	festooned
fetch	fetched	fetches	fetched
fete	feted	fetes	feted
undress	undressed	undresses	undressed
undulate	undulated	undulates	undulated
fetter	fettered	fetters	fettered
unearth	unearthed	unearths	unearthed
feud	feuded	feuds	feuded
fib	fibbed	fibs	fibbed
fictionalize	fictionalized	fictionalizes	fictionalized
fiddle	fiddled	fiddles	fiddled
fidget	fidgeted	fidgets	fidgeted
field	fielded	fields	fielded
unfold	unfolded	unfolds	unfolded
field-test	field-tested	field-tests	field-tested
unfrock	unfrocked	unfrocks	unfrocked
unfurl	unfurled	unfurls	unfurled
unhand	unhanded	unhands	unhanded
unhinge	unhinged	unhinges	unhinged
fight	fought	fights	fought
unhook	unhooked	unhooks	unhooked
unhorse	unhorsed	unhorses	unhorsed
figure	figured	figures	figured
unify	unified	unifies	unified
filch	filched	filches	filched
file	filed	files	filed
unionize	unionized	unionizes	unionized
filibuster	filibustered	filibusters	filibustered
unite	united	unites	united
fill	filled	fills	filled
fillet	filleted	fillets	filleted
film	filmed	films	filmed
unlearn	unlearned	unlearns	unlearned
unleash	unleashed	unleashes	unleashed
filter	filtered	filters	filtered
unload	unloaded	unloads	unloaded
filtrate	filtrated	filtrates	filtrated
unlock	unlocked	unlocks	unlocked
unloose	unloosed	unlooses	unloosed
unloosen	unloosened	unloosens	unloosened
unman	unmanned	unmans	unmanned
finalize	finalized	finalizes	finalized
unmask	unmasked	unmasks	unmasked
finance	financed	finances	financed
find	found	finds	found
unnerve	unnerved	unnerves	unnerved
fine	fined	fines	fined
unpack	unpacked	unpacks	unpacked
unpick	unpicked	unpicks	unpicked
finger	fingered	fingers	fingered
fingerprint	fingerprinted	fingerprints	fingerprinted
finish	finished	finishes	finished
unravel	unravelled	unravels	unravelled
fire	fired	fires	fired
unrip	unripped	unrips	unripped
unroll	unrolled	unrolls	unrolled
unsaddle	unsaddled	unsaddles	unsaddled
unsay	unsaid	unsays	unsaid
unscramble	unscrambled	unscrambles	unscrambled
unscrew	unscrewed	unscrews	unscrewed
unseat	unseated	unseats	unseated
fireproof	fireproofed	fireproofs	fireproofed
unsettle	unsettled	unsettles	unsettled
unsex	unsexed	unsexes	unsexed
firm	firmed	firms	firmed
unstop	unstopped	unstops	unstopped
unstring	unstrung	unstrings	unstrung
untangle	untangled	untangles	untangled
fish	fished	fishes	fished
unveil	unveiled	unveils	unveiled
unwind	unwound	unwinds	unwound
unzip	unzipped	unzips	unzipped
up	upped	ups	upped
fit	fitted	fits	fitted
upbraid	upbraided	upbraids	upbraided
update	updated	updates	updated
upend	upended	upends	upended
upgrade	upgraded	upgrades	upgraded
uphold	upheld	upholds	upheld
upholster	upholstered	upholsters	upholstered
uplift	uplifted	uplifts	uplifted
fix	fixed	fixes	fixed
fixate	fixated	fixates	fixated
fizz	fizzed	fizzes	fizzed
fizzle	fizzled	fizzles	fizzled
flabbergast	flabbergasted	flabbergasts	flabbergasted
uprise	uprose	uprises	uprose
flag	flagged	flags	flagged
uproot	uprooted	uproots	uprooted
flagellate	flagellated	flagellates	flagellated
upset	upset	upsets	upset
upstage	upstaged	upstages	upstaged
flail	flailed	flails	flailed
flake	flaked	flakes	flaked
flame	flamed	flames	flamed
flank	flanked	flanks	flanked
flannel	flannelled	flannels	flannelled
urbanize	urbanized	urbanizes	urbanized
flap	flapped	flaps	flapped
urge	urged	urges	urged
flare	flared	flares	flared
urinate	urinated	urinates	urinated
flash	flashed	flashes	flashed
use	used	uses	used
usher	ushered	ushers	ushered
flatten	flattened	flattens	flattened
flatter	flattered	flatters	flattered
usurp	usurped	usurps	usurped
flaunt	flaunted	flaunts	flaunted
flavour	flavoured	flavours	flavoured
flaw	flawed	flaws	flawed
utilize	utilized	utilizes	utilized
flay	flayed	flays	flayed
utter	uttered	utters	uttered
fleck	flecked	flecks	flecked
fledge	fledged	fledges	fledged
flee	fled	flees	fled
fleece	fleeced	fleeces	fleeced
fleet	fleeted	fleets	fleeted
vacate	vacated	vacates	vacated
vacation	vacationed	vacations	vacationed
vaccinate	vaccinated	vaccinates	vaccinated
vacillate	vacillated	vacillates	vacillated
flex	flexed	flexes	flexed
vacuum	vacuumed	vacuums	vacuumed
flick	flicked	flicks	flicked
flicker	flickered	flickers	flickered
flight	flighted	flights	flighted
flinch	flinched	flinches	flinched
fling	flung	flings	flung
valet	valeted	valets	valeted
flip	flipped	flips	flipped
validate	validated	validates	validated
flirt	flirted	flirts	flirted
flit	flitted	flits	flitted
value	valued	values	valued
float	floated	floats	floated
vamoose	vamoosed	vamooses	vamoosed
vamp	vamped	vamps	vamped
flock	flocked	flocks	flocked
flog	flogged	flogs	flogged
flood	flooded	floods	flooded
vandalize	vandalized	vandalizes	vandalized
floodlight	floodlit	floodlights	floodlit
vanish	vanished	vanishes	vanished
floor	floored	floors	floored
vanquish	vanquished	vanquishes	vanquished
flop	flopped	flops	flopped
vaporize	vaporized	vaporizes	vaporized
flounce	flounced	flounces	flounced
flounce	flounced	flounces	flounced
variegate	variegated	variegates	variegated
flounder	floundered	flounders	floundered
flour	floured	flours	floured
flourish	flourished	flourishes	flourished
flout	flouted	flouts	flouted
flow	flowed	flows	flowed
varnish	varnished	varnishes	varnished
flower	flowered	flowers	flowered
vary	varied	varies	varied
fluctuate	fluctuated	fluctuates	fluctuated
vault	vaulted	vaults	vaulted
fluff	fluffed	fluffs	fluffed
vaunt	vaunted	vaunts	vaunted
veer	veered	veers	veered
flummox	flummoxed	flummoxes	flummoxed
flunk	flunked	flunks	flunked
fluoresce	fluoresced	fluoresces	fluoresced
fluoridate	fluoridated	fluoridates	fluoridated
vegetate	vegetated	vegetates	vegetated
fluoridize	fluoridized	fluoridizes	fluoridized
flurry	flurried	flurries	flurried
veil	veiled	veils	veiled
flush	flushed	flushes	flushed
velarize	velarized	velarizes	velarized
fluster	flustered	flusters	flustered
flute	fluted	flutes	fluted
flutter	fluttered	flutters	fluttered
fly	flew	flies	flew
vend	vended	vends	vended
flyblow	flyblew	flyblows	flyblew
veneer	veneered	veneers	veneered
fly-fish	fly-fished	fly-fishes	fly-fished
venerate	venerated	venerates	venerated
venge	venged	venges	venged
vent	vented	vents	vented
ventilate	ventilated	ventilates	ventilated
foal	foaled	foals	foaled
venture	ventured	ventures	ventured
foam	foamed	foams	foamed
focus	focussed	focusses	focussed
verbalize	verbalized	verbalizes	verbalized
fog	fogged	fogs	fogged
foil	foiled	foils	foiled
fold	folded	folds	folded
verify	verified	verifies	verified
foliate	foliated	foliates	foliated
follow	followed	follows	followed
versify	versified	versifies	versified
foment	fomented	foments	fomented
fondle	fondled	fondles	fondled
vest	vested	vests	vested
fool	fooled	fools	fooled
vesture	vestured	vestures	vestured
vet	vetted	vets	vetted
foot	footed	foots	footed
veto	vetoed	vetos	vetoed
vex	vexed	vexes	vexed
foot-fault	foot-faulted	foot-faults	foot-faulted
footle	footled	footles	footled
footnote	footnoted	footnotes	footnoted
vibrate	vibrated	vibrates	vibrated
footslog	footslogged	footslogs	footslogged
forage	foraged	forages	foraged
foray	forayed	forays	forayed
victimize	victimized	victimizes	victimized
forbear	forbore	forbears	forbore
forbid	forbade	forbids	forbade
force	forced	forces	forced
victual	victualled	victuals	victualled
force-feed	force-fed	force-feeds	force-fed
vide	vided	vides	vided
force-land	force-landed	force-lands	force-landed
videotape	videotaped	videotapes	videotaped
vie	vied	vies	vied
view	viewed	views	viewed
ford	forded	fords	forded
forearm	forearmed	forearms	forearmed
forebode	foreboded	forebodes	foreboded
forecast	forecast	forecasts	forecast
foreclose	foreclosed	forecloses	foreclosed
foredoom	foredoomed	foredooms	foredoomed
vilify	vilified	vilifies	vilified
vindicate	vindicated	vindicates	vindicated
foreknow	foreknew	foreknows	foreknew
foreordain	foreordained	foreordains	foreordained
violate	violated	violates	violated
foresee	foresaw	foresees	foresaw
foreshadow	foreshadowed	foreshadows	foreshadowed
foreshorten	foreshortened	foreshortens	foreshortened
forestall	forestalled	forestalls	forestalled
foretell	foretold	foretells	foretold
forewarn	forewarned	forewarns	forewarned
forfeit	forfeited	forfeits	forfeited
forgather	forgathered	forgathers	forgathered
forge	forged	forges	forged
forget	forgot	forgets	forgot
forgive	forgave	forgives	forgave
