Present_Transcription	Past_Transcription	Count	Present_Orthography	Past_Orthography	Regular_or_Irregular
d.ɪ.k.l.ɛ.ɹ	d.ɪ.k.l.ɛ.ɹ.d	989	declare	declared	reg
k.ɑ.s.t	k.ɑ.s.t.ɪ.d	985	cost	costed	irreg
p.ɚ.s.w.eɪ.d	p.ɚ.s.w.eɪ.d.ʌ.d	980	persuade	persuaded	reg
ʌ.b.æ.n.d.ʌ.n	ʌ.b.æ.n.d.ʌ.n.d	975	abandon	abandoned	reg
t.ɛ.s.t	t.ɛ.s.t.ɪ.d	974	test	tested	reg
ɚ.n	ɚ.n.d	973	earn	earned	reg
ʌ.t.ɹ.æ.k.t	ʌ.t.ɹ.æ.k.t.ʌ.d	968	attract	attracted	reg
ɛ.n.eɪ.b.ʌ.l	ɛ.n.eɪ.b.ʌ.l.d	963	enable	enabled	reg
l.aɪ.t	l.aɪ.t.ʌ.d	962	light	lighted	irreg
n.ɑ.k	n.ɑ.k.t	961	knock	knocked	reg
k.ʌ.m.ɪ.t	k.ʌ.m.ɪ.t.ɪ.d	958	commit	committed	reg
ɹ.ɪ.l.æ.k.s	ɹ.ɪ.l.æ.k.s.t	958	relax	relaxed	reg
d.ɚ.ɛ.k.t	d.ɚ.ɛ.k.t.ʌ.d	952	direct	directed	reg
ɹ.i.k.ɔ.l	ɹ.ɪ.k.ɔ.l.d	946	recall	recalled	reg
s.t.i.l	s.t.oʊ.l	941	steal	stole	irreg
ɹ.ɛ.s.t	ɹ.ɛ.s.t.ʌ.d	939	rest	rested	reg
ɪ.k.s.p.ɪ.ɹ.i.ʌ.n.s	ɪ.k.s.p.ɪ.ɹ.i.ʌ.n.s.t	938	experience	experienced	reg
s.ɑ.l.v	s.ɑ.l.v.d	938	solve	solved	reg
ɹ.ʌ.k.ɔ.ɹ.d	ɹ.ʌ.k.ɔ.ɹ.d.ʌ.d	936	record	recorded	reg
ʌ.s.oʊ.s.i.ʌ.t	ʌ.s.oʊ.s.i.eɪ.t.ʌ.d	935	associate	associated	reg
p.ɹ.i.t.ɛ.n.d	p.ɹ.i.t.ɛ.n.d.ʌ.d	934	pretend	pretended	reg
k.ʌ.m.p.l.eɪ.n	k.ʌ.m.p.l.eɪ.n.d	927	complain	complained	reg
d.ʌ.t.ɚ.m.ʌ.n	d.ɪ.t.ɚ.m.ʌ.n.d	927	determine	determined	reg
ɹ.ɪ.s.p.ɑ.n.d	ɹ.ɪ.s.p.ɑ.n.d.ɪ.d	920	respond	responded	reg
s.ʌ.p.l.aɪ	s.ʌ.p.l.aɪ.d	920	supply	supplied	reg
s.w.i.p	s.w.ɛ.p.t	915	sweep	swept	irreg
ɑ.k.j.ʌ.p.aɪ	ɑ.k.j.ʌ.p.aɪ.d	911	occupy	occupied	reg
ɹ.ʌ.ʃ	ɹ.ʌ.ʃ.t	911	rush	rushed	reg
m.ɪ.k.s	m.ɪ.k.s.t	910	mix	mixed	reg
s.ɛ.p.ɚ.eɪ.t	s.ɛ.p.ɚ.eɪ.t.ʌ.d	904	separate	separated	reg
s.t.eɪ.t	s.t.eɪ.t.ɪ.d	904	state	stated	reg
b.ɛ.ɹ.i	b.ɛ.ɹ.i.d	898	bury	buried	reg
s.ɪ.ŋ.k	s.æ.ŋ.k	892	sink	sank	irreg
w.ɔ.ɹ.n	w.ɔ.ɹ.n.d	883	warn	warned	reg
k.l.ɪ.ɹ	k.l.ɪ.ɹ.d	879	clear	cleared	reg
m.ɑ.ɹ.k	m.ɑ.ɹ.k.t	879	mark	marked	reg
ʌ.t.æ.tʃ	ʌ.t.æ.tʃ.t	878	attach	attached	reg
s.aɪ.n	s.aɪ.n.d	877	sign	signed	reg
ɪ.k.s.p.oʊ.z	ɪ.k.s.p.oʊ.z.d	875	expose	exposed	reg
s.ɚ.aʊ.n.d	s.ɚ.aʊ.n.d.ʌ.d	873	surround	surrounded	reg
p.ɹ.æ.k.t.ɪ.s	p.ɹ.æ.k.t.ɪ.s.t	870	practise	practised	reg
s.k.ɹ.i.m	s.k.ɹ.i.m.d	868	scream	screamed	reg
d.ɹ.æ.g	d.ɹ.æ.g.d	867	drag	dragged	reg
k.ʌ.m.p.l.i.t	k.ʌ.m.p.l.i.t.ʌ.d	865	complete	completed	reg
d.ɛ.ɹ	d.ɛ.ɹ.d	861	dare	dared	reg
f.aɪ.ɚ	f.aɪ.ɚ.d	860	fire	fired	reg
ʌ.k.ʌ.m.p.ʌ.n.i	ʌ.k.ʌ.m.p.ʌ.n.i.d	858	accompany	accompanied	reg
t.ɹ.ʌ.s.t	t.ɹ.ʌ.s.t.ɪ.d	858	trust	trusted	reg
l.oʊ.ɚ	l.oʊ.ɚ.d	854	lower	lowered	reg
d.ɹ.aɪ	d.ɹ.aɪ.d	853	dry	dried	reg
g.l.æ.n.s	g.l.æ.n.s.t	853	glance	glanced	reg
p.ʌ.z.ɛ.s	p.ʌ.z.ɛ.s.t	850	possess	possessed	reg
s.m.ɛ.l	s.m.ɛ.l.d	850	smell	smelled	reg
s.m.ɛ.l	s.m.ɛ.l.t	850	smell	smelt	irreg
s.u.t	s.u.t.ʌ.d	840	suit	suited	reg
d.ɪ.f.ɛ.n.d	d.ɪ.f.ɛ.n.d.ʌ.d	839	defend	defended	reg
h.ɛ.d	h.ɛ.d.ʌ.d	838	head	headed	reg
s.w.ɪ.m	s.w.æ.m	837	swim	swam	irreg
b.l.eɪ.m	b.l.eɪ.m.d	834	blame	blamed	reg
d.ɪ.l.ɪ.v.ɚ	d.ɪ.l.ɪ.v.ɚ.d	834	deliver	delivered	reg
ɪ.k.s.p.æ.n.d	ɪ.k.s.p.æ.n.d.ʌ.d	832	expand	expanded	reg
ɪ.m.p.l.aɪ	ɪ.m.p.l.aɪ.d	826	imply	implied	reg
b.ɪ.h.eɪ.v	b.ɪ.h.eɪ.v.d	825	behave	behaved	reg
d.ɛ.m.ʌ.n.s.t.ɹ.eɪ.t	d.ɛ.m.ʌ.n.s.t.ɹ.eɪ.t.ʌ.d	821	demonstrate	demonstrated	reg
ʃ.ɪ.f.t	ʃ.ɪ.f.t.ʌ.d	816	shift	shifted	reg
w.eɪ.v	w.eɪ.v.d	813	wave	waved	reg
s.ɚ.tʃ	s.ɚ.tʃ.t	810	search	searched	reg
tʃ.ɑ.ɹ.dʒ	tʃ.ɑ.ɹ.dʒ.d	808	charge	charged	reg
ʌ.p.ɹ.u.v	ʌ.p.ɹ.u.v.d	802	approve	approved	reg
f.ɹ.i.z	f.ɹ.oʊ.z	799	freeze	froze	irreg
s.m.oʊ.k	s.m.oʊ.k.t	796	smoke	smoked	reg
k.ʌ.n.f.ɚ.m	k.ʌ.n.f.ɚ.m.d	795	confirm	confirmed	reg
ɪ.n.g.eɪ.dʒ	ɪ.n.g.eɪ.dʒ.d	795	engage	engaged	reg
b.ɹ.i.ð	b.ɹ.i.ð.d	791	breathe	breathed	reg
ɪ.m.p.oʊ.z	ɪ.m.p.oʊ.z.d	790	impose	imposed	reg
p.ɚ.s.u	p.ɚ.s.u.d	786	pursue	pursued	reg
g.ɹ.æ.n.t	g.ɹ.æ.n.t.ʌ.d	785	grant	granted	reg
æ.d.m.aɪ.ɹ	ʌ.d.m.aɪ.ɚ.d	783	admire	admired	reg
k.oʊ.p	k.oʊ.p.t	782	cope	coped	reg
s.t.ɹ.ʌ.g.ʌ.l	s.t.ɹ.ʌ.g.ʌ.l.d	782	struggle	struggled	reg
s.w.ɪ.tʃ	s.w.ɪ.tʃ.t	780	switch	switched	reg
d.ɪ.s.t.ɚ.b	d.ɪ.s.t.ɚ.b.d	779	disturb	disturbed	reg
s.ʌ.l.ɛ.k.t	s.ʌ.l.ɛ.k.t.ʌ.d	778	select	selected	reg
ɹ.ɛ.k.ʌ.m.ɛ.n.d	ɹ.ɛ.k.ʌ.m.ɛ.n.d.ʌ.d	776	recommend	recommended	reg
w.ɪ.ð.d.ɹ.ɔ	w.ɪ.θ.d.ɹ.u	775	withdraw	withdrew	irreg
p.ɚ.m.ɪ.t	p.ɚ.m.ɪ.t.ʌ.d	773	permit	permitted	reg
æ.d.v.aɪ.z	æ.d.v.aɪ.z.d	770	advise	advised	reg
w.ɪ.s.p.ɚ	w.ɪ.s.p.ɚ.d	769	whisper	whispered	reg
b.ɔɪ.l	b.ɔɪ.l.d	768	boil	boiled	reg
k.ʌ.n.k.l.u.d	k.ʌ.n.k.l.u.d.ʌ.d	763	conclude	concluded	reg
d.ɑ.m.ʌ.n.eɪ.t	d.ɑ.m.ʌ.n.eɪ.t.ʌ.d	759	dominate	dominated	reg
k.ʌ.n.t.ɹ.ɪ.b.j.u.t	k.ʌ.n.t.ɹ.ɪ.b.j.u.t.ɪ.d	753	contribute	contributed	reg
k.ɪ.k	k.ɪ.k.t	753	kick	kicked	reg
l.ɪ.ŋ.k	l.ɪ.ŋ.k.t	743	link	linked	reg
ɹ.ɪ.k.ʌ.v.ɚ	ɹ.ʌ.k.ʌ.v.ɚ.d	743	recover	recovered	reg
p.ɔ.z	p.ɔ.z.d	742	pause	paused	reg
ɹ.ɪ.z.ɪ.s.t	ɹ.ɪ.z.ɪ.s.t.ɪ.d	739	resist	resisted	reg
s.t.ɚ	s.t.ɚ.d	735	stir	stirred	reg
m.aʊ.n.t	m.aʊ.n.t.ʌ.d	730	mount	mounted	reg
ɹ.ʌ.b	ɹ.ʌ.b.d	729	rub	rubbed	reg
v.æ.n.ɪ.ʃ	v.æ.n.ɪ.ʃ.t	729	vanish	vanished	reg
k.w.oʊ.t	k.w.oʊ.t.ɪ.d	728	quote	quoted	reg
p.ɹ.ʌ.s.i.d	p.ɹ.ʌ.s.i.d.ʌ.d	726	proceed	proceeded	reg
f.ɪ.k.s	f.ɪ.k.s.t	725	fix	fixed	reg
k.ʌ.n.ɛ.k.t	k.ʌ.n.ɛ.k.t.ɪ.d	720	connect	connected	reg
s.ɔ.ɹ.t	s.ɔ.ɹ.t.ɪ.d	719	sort	sorted	reg
dʒ.ʌ.dʒ	dʒ.ʌ.dʒ.d	718	judge	judged	reg
p.ɹ.ʌ.z.ɚ.v	p.ɹ.ʌ.z.ɚ.v.d	718	preserve	preserved	reg
d.ɪ.g	d.ʌ.g	716	dig	dug	irreg
h.ɚ.i	h.ɚ.i.d	716	hurry	hurried	reg
ɹ.ɪ.t.eɪ.n	ɹ.ɪ.t.eɪ.n.d	706	retain	retained	reg
s.ɛ.n.s	s.ɛ.n.s.t	706	sense	sensed	reg
ɔ.l.t.ɚ	ɔ.l.t.ɚ.d	705	alter	altered	reg
ɪ.n.f.l.u.ʌ.n.s	ɪ.n.f.l.u.ʌ.n.s.t	702	influence	influenced	reg
l.ɔ.n.tʃ	l.ɔ.n.tʃ.t	702	launch	launched	reg
t.w.ɪ.s.t	t.w.ɪ.s.t.ʌ.d	696	twist	twisted	reg
ɚ.dʒ	ɚ.dʒ.d	696	urge	urged	reg
ʌ.ʃ.ʊ.ɹ	ʌ.ʃ.ʊ.ɹ.d	691	assure	assured	reg
ɪ.m.p.ɹ.ɛ.s	ɪ.m.p.ɹ.ɛ.s.t	689	impress	impressed	reg
p.æ.k	p.æ.k.t	688	pack	packed	reg
f.oʊ.l.d	f.oʊ.l.d.ʌ.d	685	fold	folded	reg
ɪ.ʃ.u	ɪ.ʃ.u.d	684	issue	issued	reg
k.ɑ.n.d.ʌ.k.t	k.ʌ.n.d.ʌ.k.t.ʌ.d	681	conduct	conducted	reg
ʌ.b.z.ɔ.ɹ.b	ʌ.b.z.ɔ.ɹ.b.d	679	absorb	absorbed	reg
d.ɪ.s.p.l.eɪ	d.ɪ.s.p.l.eɪ.d	677	display	displayed	reg
w.eɪ.s.t	w.eɪ.s.t.ʌ.d	675	waste	wasted	reg
d.ɹ.i.m	d.ɹ.i.m.d	672	dream	dreamed	irreg
w.aɪ.p	w.aɪ.p.t	668	wipe	wiped	reg
ɹ.ɪ.l.eɪ.t	ɹ.ɪ.l.eɪ.t.ɪ.d	666	relate	related	reg
ɛ.m.f.ʌ.s.aɪ.z	ɛ.m.f.ʌ.s.aɪ.z.d	664	emphasize	emphasized	reg
d.æ.m.ʌ.dʒ	d.æ.m.ʌ.dʒ.d	662	damage	damaged	reg
dʒ.ɛ.n.ɚ.eɪ.t	dʒ.ɛ.n.ɚ.eɪ.t.ʌ.d	662	generate	generated	reg
w.ɑ.n.d.ɚ	w.ɑ.n.d.ɚ.d	661	wander	wandered	reg
s.i.s	s.i.s.t	659	cease	ceased	reg
ɹ.u.l	ɹ.u.l.d	658	rule	ruled	reg
ɪ.n.f.ɔ.ɹ.m	ɪ.n.f.ɔ.ɹ.m.d	656	inform	informed	reg
l.æ.k	l.æ.k.t	653	lack	lacked	reg
ʌ.k.j.u.z	ʌ.k.j.u.z.d	648	accuse	accused	reg
f.eɪ.d	f.eɪ.d.ʌ.d	643	fade	faded	reg
f.oʊ.n	f.oʊ.n.d	643	phone	phoned	reg
s.ʌ.k	s.ʌ.k.t	643	suck	sucked	reg
m.ɛ.ʒ.ɚ	m.ɛ.ʒ.ɚ.d	641	measure	measured	reg
k.ɑ.n.v.ɚ.t	k.ʌ.n.v.ɚ.t.ɪ.d	637	convert	converted	reg
l.ɪ.m.ʌ.t	l.ɪ.m.ʌ.t.ʌ.d	635	limit	limited	reg
p.ɹ.ɪ.n.t	p.ɹ.ɪ.n.t.ʌ.d	635	print	printed	reg
æ.d.ɹ.ɛ.s	ʌ.d.ɹ.ɛ.s.t	631	address	addressed	reg
eɪ.m	eɪ.m.d	631	aim	aimed	reg
ɹ.æ.p	ɹ.æ.p.t	627	wrap	wrapped	reg
d.ɪ.s.m.ɪ.s	d.ɪ.s.m.ɪ.s.t	626	dismiss	dismissed	reg
s.l.aɪ.d	s.l.ɪ.d	626	slide	slid	irreg
ʌ.p.ɹ.i.ʃ.i.eɪ.t	ʌ.p.ɹ.i.ʃ.i.eɪ.t.ɪ.d	624	appreciate	appreciated	reg
d.ɪ.l.aɪ.t	d.ɪ.l.aɪ.t.ʌ.d	619	delight	delighted	reg
ɪ.l.ɛ.k.t	ɪ.l.ɛ.k.t.ʌ.d	618	elect	elected	reg
f.l.oʊ	f.l.oʊ.d	616	flow	flowed	reg
k.w.ɛ.s.tʃ.ʌ.n	k.w.ɛ.s.tʃ.ʌ.n.d	616	question	questioned	reg
ɪ.g.z.ɔ.s.t	ɪ.g.z.ɔ.s.t.ɪ.d	614	exhaust	exhausted	reg
ʃ.aɪ.n	ʃ.oʊ.n	614	shine	shone	irreg
ʌ.k.aʊ.n.t	ʌ.k.aʊ.n.t.ɪ.d	613	account	accounted	reg
s.l.oʊ	s.l.oʊ.d	613	slow	slowed	reg
d.aʊ.t	d.aʊ.t.ɪ.d	612	doubt	doubted	reg
æ.k.n.ɑ.l.ɪ.dʒ	æ.k.n.ɑ.l.ɪ.dʒ.d	611	acknowledge	acknowledged	reg
ɛ.s.t.ʌ.m.ʌ.t	ɛ.s.t.ʌ.m.eɪ.t.ʌ.d	609	estimate	estimated	reg
s.p.ɹ.ɪ.ŋ	s.p.ɹ.æ.ŋ	603	spring	sprang	irreg
s.p.ɹ.ɪ.ŋ	s.p.ɹ.ʌ.ŋ	603	spring	sprung	irreg
ɚ.ɛ.s.t	ɚ.ɛ.s.t.ʌ.d	601	arrest	arrested	reg
g.ɹ.æ.b	g.ɹ.æ.b.d	600	grab	grabbed	reg
ɪ.n.v.ɛ.n.t	ɪ.n.v.ɛ.n.t.ʌ.d	594	invent	invented	reg
s.w.ɑ.l.oʊ	s.w.ɑ.l.oʊ.d	594	swallow	swallowed	reg
ɹ.ɪ.s.t.ɔ.ɹ	ɹ.ɪ.s.t.ɔ.ɹ.d	588	restore	restored	reg
f.ɚ.g.ɪ.v	f.ɚ.g.eɪ.v	587	forgive	forgave	irreg
w.ɛ.l.k.ʌ.m	w.ɛ.l.k.ʌ.m.d	587	welcome	welcomed	reg
p.ɹ.ʌ.m.oʊ.t	p.ɹ.ʌ.m.oʊ.t.ʌ.d	586	promote	promoted	reg
f.l.oʊ.t	f.l.oʊ.t.ʌ.d	585	float	floated	reg
d.ɪ.k.l.aɪ.n	d.ɪ.k.l.aɪ.n.d	584	decline	declined	reg
p.ɑ.ɹ.t	p.ɑ.ɹ.t.ʌ.d	579	part	parted	reg
s.ɪ.k.j.ʊ.ɹ	s.ɪ.k.j.ʊ.ɹ.d	579	secure	secured	reg
s.i.z	s.i.z.d	579	seize	seized	reg
oʊ.v.ɚ.k.ʌ.m	oʊ.v.ɚ.k.eɪ.m	578	overcome	overcame	irreg
s.w.ɛ.ɹ	s.w.ɔ.ɹ	576	swear	swore	irreg
k.ʌ.n.s.i.l	k.ʌ.n.s.i.l.d	575	conceal	concealed	reg
d.ɹ.ɪ.f.t	d.ɹ.ɪ.f.t.ʌ.d	573	drift	drifted	reg
b.ɔ.ɹ	b.ɔ.ɹ.d	568	bore	bored	reg
d.ɪ.s.t.ɪ.ŋ.g.w.ɪ.ʃ	d.ɪ.s.t.ɪ.ŋ.g.w.ɪ.ʃ.t	568	distinguish	distinguished	reg
d.aɪ.n	d.aɪ.n.d	563	dine	dined	reg
k.ʌ.n.s.ʌ.l.t	k.ʌ.n.s.ʌ.l.t.ʌ.d	562	consult	consulted	reg
ʃ.ɑ.k	ʃ.ɑ.k.t	562	shock	shocked	reg
ɹ.ɪ.t.aɪ.ɹ	ɹ.ɪ.t.aɪ.ɹ.d	561	retire	retired	reg
t.ɹ.ʌ.b.ʌ.l	t.ɹ.ʌ.b.ʌ.l.d	560	trouble	troubled	reg
g.ɹ.i.t	g.ɹ.i.t.ʌ.d	559	greet	greeted	reg
f.ɪ.ʃ	f.ɪ.ʃ.t	557	fish	fished	reg
ɪ.l.ʌ.s.t.ɹ.eɪ.t	ɪ.l.ʌ.s.t.ɹ.eɪ.t.ʌ.d	557	illustrate	illustrated	reg
l.ɔ.ŋ	l.ɔ.ŋ.d	556	long	longed	reg
h.aɪ.ɚ	h.aɪ.ɚ.d	555	hire	hired	reg
m.æ.tʃ	m.æ.tʃ.t	555	match	matched	reg
t.ɹ.æ.n.s.f.ɚ	t.ɹ.æ.n.s.f.ɚ.d	555	transfer	transferred	reg
b.ɑ.ɹ.oʊ	b.ɑ.ɹ.oʊ.d	554	borrow	borrowed	reg
g.eɪ.z	g.eɪ.z.d	552	gaze	gazed	reg
ɹ.ɪ.m.ɑ.ɹ.k	ɹ.ɪ.m.ɑ.ɹ.k.t	552	remark	remarked	reg
s.t.ɔ.ɹ	s.t.ɔ.ɹ.d	551	store	stored	reg
ɛ.n.t.aɪ.t.ʌ.l	ɛ.n.t.aɪ.t.ʌ.l.d	549	entitle	entitled	reg
l.i.p	l.ɛ.p.t	549	leap	leaped	irreg
k.ʌ.n.v.ɪ.n.s	k.ʌ.n.v.ɪ.n.s.t	548	convince	convinced	reg
ɛ.k.s.p.l.ɔɪ.t	ɛ.k.s.p.l.ɔɪ.t.ʌ.d	548	exploit	exploited	reg
b.ɛ.g	b.ɛ.g.d	546	beg	begged	reg
s.aɪ	s.aɪ.d	546	sigh	sighed	reg
tʃ.æ.l.ʌ.n.dʒ	tʃ.æ.l.ʌ.n.dʒ.d	545	challenge	challenged	reg
f.aʊ.n.d	f.aʊ.n.d.ɪ.d	544	found	founded	reg
k.æ.l.k.j.ʌ.l.eɪ.t	k.æ.l.k.j.ʌ.l.eɪ.t.ʌ.d	542	calculate	calculated	reg
h.ɛ.z.ʌ.t.eɪ.t	h.ɛ.z.ɪ.t.eɪ.t.ɪ.d	540	hesitate	hesitated	reg
ɪ.l.ɪ.m.ʌ.n.eɪ.t	ɪ.l.ɪ.m.ʌ.n.eɪ.t.ʌ.d	539	eliminate	eliminated	reg
v.j.u	v.j.u.d	539	view	viewed	reg
p.l.æ.n.t	p.l.æ.n.t.ʌ.d	538	plant	planted	reg
w.eɪ	w.eɪ.d	538	weigh	weighed	reg
f.ɑ.s.t.ɚ	f.ɑ.s.t.ɚ.d	535	foster	fostered	reg
ʌ.n.d.ɚ.t.eɪ.k	ʌ.n.d.ɚ.t.ʊ.k	535	undertake	undertook	irreg
d.ɹ.eɪ.n	d.ɹ.eɪ.n.d	534	drain	drained	reg
m.ɑ.ɹ.tʃ	m.ɑ.ɹ.tʃ.t	534	march	marched	reg
ɹ.ɪ.s.p.ɛ.k.t	ɹ.ɪ.s.p.ɛ.k.t.ɪ.d	533	respect	respected	reg
s.t.ɑ.ɹ.t.ʌ.l	s.t.ɑ.ɹ.t.ʌ.l.d	532	startle	startled	reg
ɪ.n.v.ɛ.s.t	ɪ.n.v.ɛ.s.t.ʌ.d	525	invest	invested	reg
l.æ.n.d	l.æ.n.d.ʌ.d	524	land	landed	reg
l.ɪ.s.t	l.ɪ.s.t.ʌ.d	524	list	listed	reg
k.ɑ.n.s.t.ʌ.t.u.t	k.ɑ.n.s.t.ʌ.t.u.t.ʌ.d	523	constitute	constituted	reg
ɛ.k.s.ɚ.s.aɪ.z	ɛ.k.s.ɚ.s.aɪ.z.d	522	exercise	exercised	reg
s.p.ɔɪ.l	s.p.ɔɪ.l.d	522	spoil	spoiled	reg
ʌ.d.v.æ.n.s	ʌ.d.v.æ.n.s.t	521	advance	advanced	reg
ɹ.ɛ.n.t	ɹ.ɛ.n.t.ʌ.d	520	rent	rented	reg
s.ʌ.s.t.eɪ.n	s.ʌ.s.t.eɪ.n.d	519	sustain	sustained	reg
k.ʌ.l.æ.p.s	k.ʌ.l.æ.p.s.t	518	collapse	collapsed	reg
k.ʌ.n.d.ɛ.m	k.ʌ.n.d.ɛ.m.d	518	condemn	condemned	reg
g.ɛ.ɹ.ʌ.n.t.i	g.ɛ.ɹ.ʌ.n.t.i.d	516	guarantee	guaranteed	reg
t.ɛ.ɹ.ʌ.f.aɪ	t.ɛ.ɹ.ʌ.f.aɪ.d	516	terrify	terrified	reg
p.ɹ.ɪ.d.ɪ.k.t	p.ɹ.ɪ.d.ɪ.k.t.ɪ.d	515	predict	predicted	reg
h.ʌ.n.t	h.ʌ.n.t.ʌ.d	514	hunt	hunted	reg
t.ɹ.æ.n.s.f.ɔ.ɹ.m	t.ɹ.æ.n.s.f.ɔ.ɹ.m.d	512	transform	transformed	reg
t.ɹ.ɛ.m.b.ʌ.l	t.ɹ.ɛ.m.b.ʌ.l.d	512	tremble	trembled	reg
k.ʌ.n.s.t.ɹ.ʌ.k.t	k.ʌ.n.s.t.ɹ.ʌ.k.t.ʌ.d	511	construct	constructed	reg
l.aɪ.n	l.aɪ.n.d	511	line	lined	reg
s.t.ɹ.ɛ.ŋ.θ.ʌ.n	s.t.ɹ.ɛ.ŋ.θ.ʌ.n.d	511	strengthen	strengthened	reg
ɹ.i.æ.k.t	ɹ.i.æ.k.t.ʌ.d	510	react	reacted	reg
dʒ.ʌ.s.t.ʌ.f.aɪ	dʒ.ʌ.s.t.ʌ.f.aɪ.d	509	justify	justified	reg
k.ʌ.m.æ.n.d	k.ʌ.m.æ.n.d.ɪ.d	508	command	commanded	reg
f.ɪ.g.j.ɚ	f.ɪ.g.j.ɚ.d	507	figure	figured	reg
s.n.æ.p	s.n.æ.p.t	506	snap	snapped	reg
p.ɹ.eɪ	p.ɹ.eɪ.d	505	pray	prayed	reg
b.æ.k	b.æ.k.t	504	back	backed	reg
b.æ.l.ʌ.n.s	b.æ.l.ʌ.n.s.t	501	balance	balanced	reg
k.ɹ.ɪ.t.ɪ.s.aɪ.z	k.ɹ.ɪ.t.ʌ.s.aɪ.z.d	498	criticize	criticized	reg
h.i.t	h.i.t.ʌ.d	498	heat	heated	reg
ɹ.ɛ.dʒ.ɪ.s.t.ɚ	ɹ.ɛ.dʒ.ɪ.s.t.ɚ.d	498	register	registered	reg
s.k.w.i.z	s.k.w.i.z.d	497	squeeze	squeezed	reg
m.æ.n.j.ʌ.f.æ.k.tʃ.ɚ	m.æ.n.j.ʌ.f.æ.k.tʃ.ɚ.d	496	manufacture	manufactured	reg
p.oʊ.z	p.oʊ.z.d	496	pose	posed	reg
l.oʊ.d	l.oʊ.d.ʌ.d	493	load	loaded	reg
b.aɪ.t	b.ɪ.t	492	bite	bit	irreg
p.ɪ.ɹ	p.ɪ.ɹ.d	492	peer	peered	reg
g.ɹ.aɪ.n.d	g.ɹ.aʊ.n.d	491	grind	ground	irreg
ɪ.n.t.ɚ.ʌ.p.t	ɪ.n.t.ɚ.ʌ.p.t.ɪ.d	491	interrupt	interrupted	reg
d.ʌ.b.ʌ.l	d.ʌ.b.ʌ.l.d	490	double	doubled	reg
ʌ.b.l.aɪ.dʒ	ʌ.b.l.aɪ.dʒ.d	490	oblige	obliged	reg
k.l.ɪ.ŋ	k.l.ʌ.ŋ	489	cling	clung	irreg
l.ɛ.n.d	l.ɛ.n.t	489	lend	lent	irreg
ɪ.k.s.p.l.ɔ.ɹ	ɪ.k.s.p.l.ɔ.ɹ.d	487	explore	explored	reg
f.l.æ.ʃ	f.l.æ.ʃ.t	486	flash	flashed	reg
oʊ	oʊ.d	486	owe	owed	reg
f.l.i	f.l.ɛ.d	482	flee	fled	irreg
g.ɹ.ɪ.n	g.ɹ.ɪ.n.d	479	grin	grinned	reg
d.ɪ.z.ɚ.v	d.ɪ.z.ɚ.v.d	475	deserve	deserved	reg
oʊ.b.eɪ	oʊ.b.eɪ.d	473	obey	obeyed	reg
s.t.ɹ.ɛ.s	s.t.ɹ.ɛ.s.t	473	stress	stressed	reg
k.ʌ.m.p.oʊ.z	k.ʌ.m.p.oʊ.z.d	472	compose	composed	reg
ɹ.eɪ.n.dʒ	ɹ.eɪ.n.dʒ.d	471	range	ranged	reg
ʌ.m.j.u.z	ʌ.m.j.u.z.d	470	amuse	amused	reg
k.ʌ.m.p.i.t	k.ʌ.m.p.i.t.ɪ.d	469	compete	competed	reg
ʌ.dʒ.ʌ.s.t	ʌ.dʒ.ʌ.s.t.ɪ.d	468	adjust	adjusted	reg
k.ɹ.i.p	k.ɹ.ɛ.p.t	466	creep	crept	irreg
ʌ.p.ɔɪ.n.t	ʌ.p.ɔɪ.n.t.ʌ.d	465	appoint	appointed	reg
d.ɪ.f.i.t	d.ɪ.f.i.t.ʌ.d	465	defeat	defeated	reg
d.ɪ.m.ɪ.n.ɪ.ʃ	d.ɪ.m.ɪ.n.ɪ.ʃ.t	465	diminish	diminished	reg
ʌ.d.æ.p.t	ʌ.d.æ.p.t.ɪ.d	464	adapt	adapted	reg
k.ʌ.n.f.ɹ.ʌ.n.t	k.ʌ.n.f.ɹ.ʌ.n.t.ʌ.d	464	confront	confronted	reg
ɪ.n.k.w.aɪ.ɹ	ɪ.n.k.w.aɪ.ɚ.d	464	inquire	inquired	reg
p.ɹ.oʊ.t.ɛ.s.t	p.ɹ.ʌ.t.ɛ.s.t.ʌ.d	463	protest	protested	reg
k.u.l	k.u.l.d	461	cool	cooled	reg
ɪ.m.b.ɛ.ɹ.ʌ.s	ɪ.m.b.ɛ.ɹ.ʌ.s.t	461	embarrass	embarrassed	reg
k.æ.p.tʃ.ɚ	k.æ.p.tʃ.ɚ.d	460	capture	captured	reg
d.ɪ.l.eɪ	d.ɪ.l.eɪ.d	459	delay	delayed	reg
g.aɪ.d	g.aɪ.d.ʌ.d	459	guide	guided	reg
ɪ.n.t.ɚ.p.ɹ.ʌ.t	ɪ.n.t.ɚ.p.ɹ.ʌ.t.ʌ.d	459	interpret	interpreted	reg
s.p.ɪ.n	s.p.æ.n	458	spin	span	irreg
k.ʌ.n.f.ɛ.s	k.ʌ.n.f.ɛ.s.t	456	confess	confessed	reg
t.ɹ.æ.p	t.ɹ.æ.p.t	456	trap	trapped	reg
k.ɹ.ɔ.l	k.ɹ.ɔ.l.d	454	crawl	crawled	reg
